label	definition	caption
Bassoon	A woodwind instrument with a distinctive, resonant, and powerful sound, played by blowing air through a reed and producing a rich, mellow tone, often heard in orchestras, bands, or chamber music ensembles.	
Sound equipment	Electronic devices used for producing, recording, or transmitting sound, such as microphones, speakers, and amplifiers.	
Slurp, drinking straw	The sound of someone sucking on a straw while drinking, characterized by a rhythmic, slurping noise.	
Other sourceless	Sounds that do not have a discernible source, such as echoes, reverberations, or ambient noise.	
Dub	A rhythmic, pulsating sound often associated with electronic music, characterized by its steady beat and deep bass tones. Typically heard in nightclubs, festivals, or concerts.	
Bugle	A loud, brass instrument used for signaling or ceremonial purposes, producing a distinct, resonant sound. Often heard in military ceremonies, parades, or public events.	
Mains hum	A low-frequency, continuous humming sound produced by the electrical grid, typically heard when the power is on. Often associated with electrical interference or malfunctions, but can also be a normal part of the power system.	
Hiccup	A sudden, rhythmic contraction of the diaphragm, accompanied by a brief, high-pitched sound, often heard during meals or when the person is tired.	
Rock and roll	A genre of popular music characterized by its strong, steady rhythm, often featuring electric guitars, bass, drums, and vocals, originating in the United States in the 1950s.	
Yodeling	A vocal technique involving rapid, high-pitched vocalizations, often used in traditional folk music or as a form of vocal exercise, characterized by its distinctive, resonant sound.	
Opera	A dramatic musical genre characterized by elaborate vocalizations, ornate melodies, and complex harmonies, often performed in grand theaters or concert halls.	
Oldschool jungle	A genre of electronic dance music (EDM) originating in the 1990s, characterized by its heavy basslines, intricate drum patterns, and lush, atmospheric soundscapes, often associated with raves and underground club scenes.	
Sound reproduction	The process of capturing, storing, and playing back sound, typically through the use of audio recording technology, speakers, and amplifiers, to create a sonic experience for listeners.	
Bathroom sounds	A collection of sounds produced in a bathroom setting, including running water, flushing toilets, and various personal care activities.	
Scrape	A sharp, metallic sound resulting from the movement of a hard object against a surface, often heard during construction, maintenance, or cleaning activities.	
Wedding music	A selection of melodies and rhythms played during a wedding ceremony or reception, typically featuring a mix of traditional and contemporary songs, and often accompanied by live instruments or DJ performances.	
Clavinet	A percussion instrument with a wooden body and metal strings, producing a bright, resonant sound when struck or plucked, often used in jazz and funk music.	
Thunk	A sharp, percussive sound created by a solid object striking a surface, characterized by a short duration and a distinct, hollow resonance, commonly heard in footsteps or door slams.	
Tap dance	A rhythmic, percussive dance style characterized by rapid, precise footwork and the use of various sounds produced by striking or scraping the floor with the feet, often accompanied by music.	
Drum and bass	A genre of electronic dance music characterized by its heavy basslines, fast tempo, and intricate drum patterns, often associated with raves and clubs.	
Whale vocalization	The complex, melodic songs produced by humpback whales, consisting of moans, whistles, and other vocalizations, typically heard in open ocean environments.	
Salsa music	A lively, rhythmic dance music originating from Cuba and Puerto Rico, characterized by its syncopated beats, percussive instruments, and Spanish lyrics, often associated with Latin American culture and social gatherings.	
Violin, fiddle	A stringed musical instrument, characterized by its high-pitched, resonant sound, often used in classical or folk music. Typically played with a bow, producing a rich, vibrant tone.	
Chink, clink	A short, sharp, metallic sound, often heard when two hard objects collide or when something is being struck or tapped. Typically associated with everyday activities like opening cans or knocking on doors.	
Whoop	A loud, explosive vocalization, often used to express excitement, joy, or triumph. Typically heard in social gatherings, sports events, or celebrations.	
Rumble	A deep, continuous rumbling sound, often associated with earthquakes, thunderstorms, or industrial machinery.	
Funny music	A type of music characterized by its humor, often featuring satirical lyrics, ironic melodies, or unexpected twists.	
Rodents, rats, mice	Small mammals known for their scurrying, squeaking, and gnawing sounds, typically found in urban or rural environments.	
Electronic dance music	A genre of percussive electronic music produced largely for nightclubs, festivals, and raves, characterized by repetitive beats and synthesized sounds, often produced for playback by DJs who create seamless selections of tracks, called a mix, by segueing from one recording to another.	
Grind	A rhythmic, grinding, and sometimes abrasive sound produced by the contact of metal on metal, commonly heard in industrial settings, machinery, or metal-on-metal interactions.	
Pulse	A rhythmic, steady, and often repetitive sound produced by the beating of a heart or other pulsating organs, characterized by its regularity and intensity, often heard in medical or biological contexts.	
Techno	A type of electronic dance music characterized by its repetitive beats, synthesized sounds, and use of digital audio workstations. Often heard in nightclubs, festivals, or raves.	
Jingle (music)	A short, catchy tune or melody used to promote a product, service, or brand. Often heard in radio or television commercials, as well as in jingles for toys or games.	
White noise, pink noise	Two types of noise generated by electronic devices. White noise is a random, uniform sound with a flat frequency spectrum, often used as a background noise or to mask unwanted sounds. Pink noise, on the other hand, is a type of white noise that has been filtered to have a more natural-sounding spectrum, often used in sound machines or as a sleep aid.	
Electronic organ	An electronic musical instrument that simulates the sound of a pipe organ, characterized by its rich, resonant tones and versatile sound capabilities.	
Sampler	An electronic device that records and stores audio samples, allowing users to manipulate and combine them to create new sounds or compositions.	
Duck call (hunting tool)	A loud, high-pitched whistle used by hunters to attract ducks during hunting season, typically made from metal or plastic and featuring a distinctive, reed-like design.	
Coo	A melodic vocalization produced by birds, characterized by unique patterns, pitches, and rhythms, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
Knife	The sharp, metallic sound produced by the blade of a knife cutting through something, typically heard in kitchens, workshops, or construction sites.	
Radio	The resonant, piercing shriek emitted by a locomotive, heralding its imminent arrival or departure, from bustling cities to serene countryside.	
Engine knocking	A rhythmic, metallic sound produced by the internal combustion of an engine, characterized by a series of short, sharp taps or clicks, often heard in vehicles or machinery.	
Dong, bong	A deep, resonant sound with a distinct, pulsating rhythm, commonly associated with timpani, a percussion instrument used in orchestras and bands.	
Timpani	A percussion instrument consisting of a set of tuned metal drums, played with mallets, producing a deep, resonant sound with a distinct, pulsating rhythm, often used in orchestras and bands.	
Gargling	The sound of water swirling and splashing in a basin or sink, typically heard during oral hygiene routines or when rinsing dishes.	
Carnatic music	A classical music genre originating in South India, characterized by its melodic and rhythmic complexity, often featuring intricate vocalizations and improvisations. Typically heard in religious or cultural contexts.	
Trance music	An electronic dance music genre known for its uplifting, euphoric, and energetic sounds, often featuring repetitive beats, synth leads, and atmospheric pads. Typically heard in nightclubs, festivals, or raves.	
Steel guitar, slide guitar	A stringed musical instrument characterized by its use of a slide bar to manipulate the pitch of the strings, often used in genres like country, blues, and rock. The sound is typically bright, twangy, and resonant, with a distinctive vibrato effect.	
Booing	A loud, rhythmic vocalization produced by clapping one's hands together, often used as a form of protest, encouragement, or celebration. The sound is characterized by its sharp, percussive quality and can be heard in various settings, including sports stadiums, concerts, or political rallies.	
Squeal	A high-pitched, piercing sound produced by the sudden release of pressure or tension, often heard in animals like pigs or chickens when they are distressed or excited. The sound can also be produced by various mechanical devices, such as brakes or engines, and is characterized by its sudden, high-frequency nature.	
Photocopier	A mechanical device that reproduces copies of documents or images, characterized by its rhythmic, paper-shuffling sound and occasional whirring noise.	
Birthday music	A collection of melodies and rhythms played to celebrate a person's birthday, often featuring upbeat, joyful tunes and lyrics.	
Dubstep	An electronic dance music genre originating in the United Kingdom, characterized by its heavy bass, fast tempo, and intricate rhythmic patterns, often associated with nightclubs and festivals.	
Crunch	A crisp, sharp sound produced by the impact of two hard objects, often heard when walking on gravel or stepping on leaves.	
Soca music	A lively, upbeat genre of music originating from the Caribbean, characterized by its rhythmic beats, catchy melodies, and energetic vocals.	
Creak	A low-pitched, metallic sound produced by the movement of metal objects, often heard in old wooden houses or on old doors and windows.	
Synthetic singing	Artificially generated vocalizations produced using electronic devices, characterized by a wide range of pitches, rhythms, and timbres, often used in music, advertising, or entertainment.	
Rustling leaves	The gentle, rustling sound produced by leaves moving in the wind, characterized by a soft, whispering quality, often heard in natural environments like forests, parks, or gardens.	
Harmonic	A musical term denoting a pleasing, melodic sound characterized by a combination of multiple frequencies, often produced by instruments or voices, and associated with a sense of balance and harmony.	
Roll	A rhythmic, percussive sound produced by a drum or other percussion instrument, characterized by a sharp, resonant tone and a distinct pitch. Often heard in various musical genres, including jazz, rock, and hip-hop.	
Saxophone	A woodwind instrument with a distinctive, mellow, and versatile sound, played by blowing air through a single reed. Commonly used in jazz, funk, and pop music, characterized by its unique timbre and expressive capabilities.	
Eruption	A sudden, explosive sound caused by the release of pressure or energy, often accompanied by a sharp, crackling noise. Commonly heard in volcanic eruptions, fireworks, or explosive devices, characterized by its intense and short-lived nature.	
Drum beat	A rhythmic, percussive sound produced by striking a drum or other percussion instrument, often heard in music, dance, or religious ceremonies. Typically heard in enclosed spaces like concert halls, clubs, or studios.	
Channel, environment and background	A combination of sounds and ambiance that create a specific atmosphere or mood. This can include background noise, music, and other audio elements that contribute to the overall experience. Often heard in movies, TV shows, or video games.	
Stomach rumble	A low, guttural sound produced by the digestive system when it is processing food. Often heard after eating a large meal or when experiencing indigestion. Typically heard in the abdominal area and can be accompanied by other digestive sounds like burping or farting.	
Filing (rasp)	A sharp, metallic sound produced by the movement of paper through a filing cabinet, often accompanied by a rhythmic clicking noise.	
Shower	The sound of water cascading from a showerhead, characterized by a continuous, steady flow and occasional splashing.	
Clunk	A sharp, percussive sound resulting from the impact of two hard objects, typically heard when something falls or collides.	
Funk carioca	A lively, rhythmic genre of Brazilian funk music characterized by its syncopated beats, percussive elements, and soulful vocals. Often associated with Rio de Janeiro's vibrant nightlife and carnival culture.	
House music	A percussive electronic dance music (EDM) genre produced largely for nightclubs, festivals, and raves, featuring repetitive beats, synthesized melodies, and sampled vocals. Originating in Chicago in the 1980s, it has since become a global phenomenon.	
Plop	A distinctive, short, and sharp sound produced by the impact of a small object, such as a toy or a ball, hitting a hard surface. Often heard in playgrounds, parks, or sports fields, where children engage in activities involving bouncing or throwing objects.	
Chipmunk	Small, high-pitched vocalizations produced by chipmunks, characterized by their rapid, chittering rhythm and distinctive, squeaky sound. Often heard in wooded areas or suburban environments, especially during early morning or late afternoon.	
Cornet	Brassy, mellow, and melodic instrument with a distinctive, conical shape, played by blowing air through a cup-shaped mouthpiece. Produces a rich, resonant sound, often associated with jazz music. Typically encountered in music venues, jazz clubs, or outdoor events.	
Static	Electrical hum or buzz generated by the flow of electric current through a device or circuit. Often heard in electronic devices, appliances, or electrical systems, characterized by its steady, low-frequency sound. Typically encountered in homes, offices, or industrial settings.	
Whack, thwack	A sharp, percussive sound produced by a hard impact, often heard when striking an object with a tool or weapon, such as a hammer or a baseball bat.	
Sitar	A plucked stringed instrument, characterized by its long neck and a gourd resonator, commonly used in Indian classical music, producing a rich, resonant sound.	
Donkey, ass	A large, hoofed mammal, known for its distinctive braying sound, often heard in rural areas or on farms, associated with transportation or labor.	
Jet engine	A powerful, rhythmic sound produced by the rapid expansion of air in a jet engine, characterized by its high-pitched, pulsating nature. Often heard in airports, near highways, or during air travel.	
Rub	A repetitive, rhythmic sound created by the friction of two surfaces in contact, typically produced by rubbing or scraping. Often heard in kitchens, workshops, or during maintenance tasks.	
Patter	A series of short, sharp sounds produced by the impact of small objects or particles against a surface, characterized by its rhythmic, staccato pattern. Often heard in rain, hail, or during manufacturing processes.	
Acoustic environment	The ambient soundscape characterized by the presence of various sounds, their intensity, and their spatial distribution. This includes natural sounds like birdsong, waterfall, and thunder, as well as human-generated sounds like footsteps, laughter, and train whistles.	
Rustle	A soft, gentle sound produced by the movement of leaves, branches, or other light materials in the wind. Often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
Carbon monoxide detector, CO detector	An electronic device designed to detect carbon monoxide gas in the air. It produces a high-pitched, piercing sound when carbon monoxide levels exceed a safe threshold, alerting individuals to potential danger.	
Field recording	A recording of natural or ambient sounds made in a specific location, often capturing the unique acoustic environment and its associated sounds. Context: A field recording typically involves capturing sounds in their natural habitat, such as a forest, beach, or city street.	
Scary music	A musical composition designed to evoke fear, dread, or unease, often featuring dissonant harmonies, sudden dynamic changes, and eerie melodies. Context: Scary music is typically associated with horror films, haunted houses, or other suspenseful situations.	
Zither	A stringed musical instrument with a flat wooden body and a set of strings that are plucked or strummed to produce melodic and harmonic tones. Context: The zither is commonly associated with traditional music from Europe, particularly Germany and Austria, and is often used in folk and classical music.	
Melody	A musical composition characterized by a succession of melodic notes, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
Sailboat, sailing ship	A watercraft propelled by sails, typically used for recreational or commercial purposes, often heard in coastal areas or on open water.	
Soprano saxophone	A woodwind instrument with a high-pitched, bright sound, commonly used in jazz music, often heard in music venues or recording studios.	
Firecracker	A loud, explosive sound produced by the rapid expansion of gunpowder, often heard during celebrations or festivals.	
Clatter	A sharp, metallic sound resulting from the impact of hard objects striking each other, commonly heard in industrial settings or construction zones.	
Refrigerator	The humming or buzzing sound produced by the compressor of a refrigerator, indicating that it is functioning properly and maintaining a cool temperature.	
Song	A melodic vocalization produced by birds, characterized by unique patterns, pitches, and rhythms, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
Clicking	A sharp, short sound produced by the impact of a hard surface or object on another, often heard in electronic devices, machinery, or footsteps.	
Pulleys	The rhythmic clanking or whirring sound produced by metal pulleys as they move and interact with other components, often heard in industrial settings or machinery.	
Cluck	A rhythmic, high-pitched vocalization produced by chickens, often heard in agricultural settings or near birdhouses.	
Flamenco	A passionate, expressive dance accompanied by guitar music and singing, originating from the Andalusian region of Spain, characterized by intricate footwork, hand clapping, and percussive guitar playing.	
Mouse	Small, nocturnal mammals with soft fur, pointed snouts, and sharp claws, known for their agility and adaptability. They are commonly found in urban and rural environments, often scurrying across floors, walls, and gardens.	
Squish	A soft, squishing sound typically produced by compressing or squeezing something, often heard in kitchens or when handling food items.	
Honk	A loud, short, and sharp sound, often associated with car horns or other warning devices, typically heard in urban environments or during traffic congestion.	
Beep, bleep	A short, high-pitched electronic sound, often used as an alert or notification, commonly heard in electronic devices or systems.	
Environmental noise	A mixture of sounds from various sources in a given environment, such as traffic, birds, and wind. Often recorded without any modifications.	
Unmodified field recording	An audio recording made in its natural environment without any manipulation or enhancement, capturing the ambient sounds and their characteristics.	
Dance music	A genre of electronic music primarily produced for nightclubs, festivals, and raves, characterized by repetitive beats, synthesized instruments, and digital production techniques.	
Digestive	The gurgling or bubbling sound produced by food being processed in the stomach, typically heard during or after meals.	
Generic impact sounds	"A variety of sounds resulting from the collision of objects or surfaces, characterized by sharp, short bursts of sound, often described as ""thuds"" or ""clicks"". These sounds can be heard in various settings, such as construction sites, industrial areas, or even in everyday life, like doors closing or footsteps on hard surfaces."	
Tapping (guitar technique)	The rhythmic sound created by striking the strings of a guitar with the fingers or a plectrum, producing a percussive, melodic accompaniment. This technique is commonly used in various genres of music, including rock, pop, and jazz, and can be heard in live performances or recordings.	
Rimshot	A sharp, percussive sound produced by striking a drum rim with a mallet, often used in jazz music to create a distinctive rhythm.	
Tire squeal, skidding	The high-pitched, screeching noise generated by tires losing traction and skidding on a surface, typically heard during sudden stops or turns.	
Vibraphone	A percussion instrument consisting of metal bars that vibrate and produce sound when struck with mallets, often used in jazz and classical music to create a shimmering, ethereal tone.	
Hubbub, speech noise, speech babble	A cacophony of voices and sounds produced by people engaged in conversation or speech, often characterized by overlapping speech and background noise. Typically heard in crowded public spaces like markets, cafes, or train stations.	
Non-motorized land vehicle	A type of vehicle that does not rely on motor power to move, such as bicycles, walking, or horse-drawn carriages. Often associated with leisure activities, transportation, or exercise.	
Nicker	A short, high-pitched sound produced by a horse, often used as a form of communication or warning signal. Typically heard in rural areas or equestrian environments, where horses are commonly kept and ridden.	
Ping	A short, high-pitched sound produced by a device or system to indicate connectivity or presence, often heard in computer networks or electronic devices.	
Mantra	A repetitive, rhythmic sound or phrase used in meditation, yoga, or spiritual practices, characterized by its calming and focusing effects, often heard in quiet environments.	
Shuffle	A percussive, rhythmic sound created by the movement of cards or other objects, typically heard in card games or dance performances, characterized by its syncopated pattern and varying intensity.	
Oink	A short, sharp, and high-pitched vocalization produced by pigs, often heard in agricultural settings or near pig farms.	
Tubular bells	A set of eight metal bells suspended in a vertical array, typically played by striking or ringing them with mallets. Often associated with church bells or orchestral music.	
Whimper (dog)	A low, mournful, and continuous vocalization produced by dogs, often expressing pain, fear, or anxiety. Typically heard in domestic settings or near dog parks.	
Progressive rock	A genre of rock music characterized by complex structures, intricate melodies, and innovative soundscapes, often featuring electric guitars, keyboards, and drums.	
Waterfall	The continuous, powerful flow of water cascading from a height, distinguished by its roaring intensity and white noise-like properties, typically found in rugged landscapes such as mountains, cliffs, or canyons.	
Bass drum	A percussion instrument producing a deep, resonant sound, commonly used in various genres of music, characterized by its distinct, rhythmic thumping or pounding.	
Whip	A sharp, cracking sound produced by a whip, often heard in rodeos, horseback riding, or other equestrian activities.	
Wail, moan	A mournful, prolonged sound often associated with grief, loss, or despair, typically heard in human vocalizations or animal cries.	
Neigh, whinny	A high-pitched, resonant sound produced by a horse, often heard in pastures, stables, or during horseback riding, conveying excitement, contentment, or warning.	
String section	A section of a musical instrument, typically a stringed instrument, that produces a specific pitch or range of pitches. Often associated with classical or orchestral music, string sections are characterized by their rich, resonant sound.	
Croak	A short, sharp, and hoarse vocalization produced by frogs, toads, or other amphibians. Often heard in wetland environments, such as marshes or swamps, during the breeding season.	
Loop	A repetitive pattern of sound or music, often used in electronic or dance music. Loops can be created using various techniques, such as sequencing software or live instrument performance, and are characterized by their continuous, hypnotic quality.	
Ship	A large watercraft designed for transportation or cargo, characterized by its hull, masts, and sails, often heard moving through water with a steady, rhythmic sound.	
Sizzle	The distinct, high-pitched sound produced when food is being cooked in hot oil or on a heated surface, typically heard in kitchens or cooking areas, signaling the process of frying.	
Foghorn	The loud, resonant sound emitted by a foghorn, used to warn ships and boats of potential hazards or to signal their location, often heard in coastal areas or on ships.	
Alert	A sudden, high-pitched sound often associated with danger or warning, such as a car horn or siren.	
Background noise	A persistent, low-level sound that forms the ambient environment, such as traffic or office chatter.	
Slosh	A rhythmic, splashing sound produced by liquid moving in a shallow container, such as water in a basin or a bird bath.	
Shuffling cards	The sound of cards being shuffled, characterized by a rhythmic, soft rustling noise, often heard in casinos, card games, or card shops.	
Gospel music	A genre of Christian music characterized by its uplifting, soulful melodies and lyrics, often heard in churches, religious gatherings, or on radio stations playing gospel music.	
Grunge	A genre of rock music characterized by its heavy, distorted guitar riffs, angsty lyrics, and grunge-inspired fashion, often associated with the 1990s grunge scene in Seattle, Washington.	
Single-lens reflex camera	A type of camera that captures images by focusing light onto a single lens, which then reflects the image onto a light-sensitive surface. Often used for photography, particularly portrait and landscape photography.	
Beat	A rhythmic pattern of sound characterized by a strong, steady pulse and syncopated accents. Originating in the 1950s, beat music is often associated with youth culture and rebellion.	
Psychedelic rock	A subgenre of rock music characterized by its use of psychedelic elements such as distorted guitar, unusual song structures, and surreal or dreamlike lyrics. Popular in the 1960s and 1970s, psychedelic rock often reflects a countercultural or spiritual perspective.	
Ice cream truck, ice cream van	A mobile vehicle selling ice cream, characterized by its distinctive jingle and the sound of churning ice cream.	
Clarinet	A woodwind instrument with a single reed, producing a mellow, melodic sound, often heard in orchestras or jazz music.	
Dial tone	The distinctive, high-pitched sound produced when a telephone is dialed, signaling the connection to the network.	
Drone music	A type of electronic music characterized by its repetitive, hypnotic patterns and minimalist soundscapes, often associated with ambient or minimalist genres. Typically produced using synthesizers, drum machines, or other electronic instruments, drone music can be heard in various settings, including art galleries, museums, or meditation spaces.	
Shofar	"A traditional Jewish musical instrument made from a ram's horn, used for ceremonial and religious purposes. The shofar produces a loud, resonant sound, often described as a ""blast"" or ""trumpet-like"" tone. It is commonly heard during Jewish holidays, such as Rosh Hashanah or Yom Kippur, and during religious ceremonies and processions."	
Ukulele	A small, four-stringed musical instrument with a distinctive, twangy sound. The ukulele is played by strumming or plucking the strings, and its chord progressions are often simple and repetitive. It is commonly associated with Hawaiian and Latin American music, and can be heard in various settings, including bars, cafes, or street performances.	
Flap	The sound of wings flapping in the air, typically produced by birds or bats, characterized by a rhythmic, fluttering pattern. Often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
Hum	A low-frequency, continuous sound produced by the vibration of objects or air, often associated with machinery, vehicles, or natural phenomena like wind or water. Typically encountered in industrial or urban settings, characterized by a steady, droning quality.	
Human locomotion	The sounds produced by humans while moving on foot, characterized by variations in speed, intensity, and pattern. Encountered in diverse settings like streets, hallways, or forests, originating from individuals moving on foot.	
Roaring cats (lions, tigers)	A loud, resonant vocalization produced by big cats, characterized by its deep, rumbling tone and distinct rhythm. Often heard in natural environments like savannas, jungles, or grasslands, especially during mating season or territorial disputes.	
Mellotron	An electronic instrument that simulates the sound of a choir or orchestra, featuring a range of voices and instruments. Typically used in music production, it produces a rich, warm, and ethereal sound, often associated with classic rock or progressive rock genres.	
Stairs	A series of steps or risers designed for climbing or descending, typically made of wood, metal, or stone. The sound produced by stairs varies depending on the material, construction, and usage, ranging from soft, creaky footsteps to loud, echoing clanging or scraping.	
Fly, housefly	Small, buzzing insects with iridescent wings, characterized by their rapid, erratic flight patterns, often found near human habitats like kitchens or gardens.	
Pigeon, dove	Medium-sized birds with soft feathers and cooing vocalizations, known for their ability to fly and perch on ledges or branches, commonly found in urban or rural environments.	
Puff	Short, sharp bursts of air or steam, often produced by blowing or exhaling forcefully, heard in various contexts like blowing out candles or releasing air from a balloon.	
Tape hiss	A faint, high-pitched, rhythmic sound produced by the movement of magnetic tape on a reel, often heard when playing old cassette tapes or vinyl records.	
Source-ambiguous sounds	Sounds that are difficult to identify or locate due to their indistinct or overlapping nature, often experienced in noisy environments or when multiple sounds are present.	
Musical note	A pure, single-frequency sound produced by musical instruments or vocalists, characterized by its pitch, duration, and timbre, used as the building blocks of music.	
Cacophony	A harsh, discordant mixture of sounds, often characterized by sudden, jarring changes in pitch, volume, or timbre, typically heard in chaotic or disordered environments.	
Oboe	A woodwind instrument with a distinctive, mellow, and expressive sound, often used in classical or orchestral music, typically heard in concert halls or music studios.	
Hammond organ	An electric keyboard instrument with a rich, resonant sound, featuring a unique vibrato effect and a wide range of tonal possibilities, often used in rock, pop, or jazz music, typically heard in music venues or recording studios.	
Duck	A common waterfowl characterized by its distinctive quacking sound, often heard in or near bodies of water. Ducks are known for their distinctive quacking, which varies in pitch, rhythm, and intensity depending on the species and individual.	
Steam	A visible, white, and odorless mist produced by the rapid heating of water or other liquids. Steam is often associated with heat, pressure, and energy, and can be heard hissing or whistling as it escapes from various sources, such as boilers, kettles, or steam engines.	
Snake	A long, slithering reptile known for its hissing or hissing-like sound, often heard when it's threatened or agitated. Snakes are also known for their distinctive body movements, which can include slithering, coiling, or stretching, depending on the species and individual.	
Slap, smack	A sharp, percussive sound produced by a sudden impact, often heard when someone hits an object or another person. Typically occurs in indoor or outdoor settings, such as a kitchen, a sports field, or a public space.	
Throbbing	A rhythmic, pulsating sound or sensation, often associated with pain, discomfort, or arousal. Typically heard or felt in the head, neck, or chest, and can be caused by various factors such as migraines, heart conditions, or sexual arousal.	
Ringing tone, ringback tone	A high-pitched, oscillating sound produced by a telephone or other communication device when it is ringing or receiving a call. Typically heard in indoor or outdoor settings, such as an office, a home, or a public space, and can be used to identify a specific phone number or caller.	
Steam whistle	A high-pitched, whistling sound produced by the release of steam from a boiler, commonly heard in industrial settings or on steamships.	
Double bass	A deep, resonant sound produced by a large stringed instrument, typically associated with orchestral music or jazz.	
Skidding	A sharp, sliding sound produced by the friction of tires on a wet or slippery surface, often heard during vehicle maneuvers or accidents.	
Humming	A low-frequency, rhythmic sound produced by vibrating objects, often heard in industrial settings or during transportation.	
Pink noise	A type of white noise characterized by its spectral density, which follows a pinkish distribution. Often used in background noise or as a masking sound.	
Snort (horse)	A short, sharp sound produced by a horse when it inhales air through its nostrils. Often heard during horseback riding or in stable environments.	
Noise	A mixture of sounds, often characterized by their intensity, frequency, and duration, typically produced by human activity or natural phenomena. Can be heard in various environments, including urban areas, construction sites, or natural landscapes.	
Hoot	A loud, piercing vocalization produced by owls, characterized by its distinctive hooting sound. Often heard in forests, grasslands, or deserts during nighttime hours, especially when owls are hunting prey.	
Happy music	A lively, upbeat musical genre characterized by its fast tempo, major key, and cheerful melodies. Often associated with joy, celebration, or positive emotions, and commonly heard in social gatherings, parties, or dance clubs.	
Clickety-clack	A rhythmic, metallic sound produced by the impact of small objects on a hard surface, often heard in train stations, elevators, or mechanical devices.	
Vibration	A rapid, back-and-forth movement of particles or objects, typically caused by sound waves or mechanical forces, resulting in a vibrating sensation. Can be heard in various settings, such as musical instruments, engines, or machinery.	
Echo	A repetition of a sound after its initial occurrence, caused by the reflection of sound waves off surfaces. Often heard in enclosed spaces, such as caves, tunnels, or large rooms, where sound reverberates off walls or ceilings.	
Steelpan	A percussion instrument made from steel sheets, commonly used in Caribbean music, characterized by its resonant, melodic tones and distinctive rhythmic patterns.	
Squawk	A loud, sharp, and piercing vocalization produced by birds, often used for communication, warning, or attracting mates, typically heard in natural environments like forests, parks, or gardens.	
Kwaito	A genre of South African music characterized by its fast-paced beats, syncopated rhythms, and energetic vocals, often associated with youth culture and social issues, typically heard in urban settings.	
Clang	A sharp, metallic sound produced by the collision of two hard surfaces, often heard in industrial or construction settings.	
Tender music	Soft, melodic music characterized by gentle, emotive tones, typically associated with romantic or sentimental themes, often heard in intimate settings or during special occasions.	
Whimper	A low, mournful sound produced by a dog or other animal in distress, expressing pain, fear, or sadness, often heard in veterinary clinics or animal shelters.	
Zing	A sharp, metallic sound produced by striking two objects together, often heard in metalworking or carpentry.	
Rowboat, canoe, kayak	The gentle lapping of water against the sides of a small watercraft, typically heard in calm water.	
Rain on surface	The soft, rhythmic patter of raindrops striking various surfaces, such as roofs, windows, or leaves, often heard during rainfall.	
Yip	A high-pitched vocalization produced by dogs, often used for excitement, joy, or communication.	
Heart sounds, heartbeat	The rhythmic, pulsating sounds produced by the heart, typically heard in the chest or neck, indicating cardiac activity.	
Wolf-whistling	The haunting, mournful whistle emitted by wolves, often used for long-distance communication, territorial marking, or warning others of danger.	
Moo	The resonant, low-pitched sound produced by cows, typically heard in agricultural or rural settings, often associated with grazing or milking.	
Specific impact sounds	Distinctive, sharp sounds resulting from the impact of objects on surfaces, characterized by their short duration and high intensity, commonly heard in construction sites, industrial areas, or during sports activities.	
Canidae, wild dogs, wolves	The deep, resonant howls emitted by wild dogs and wolves, often heard in forests, grasslands, or mountainous regions, serving as a means of communication and territorial marking.	
Wobble	A rhythmic, unsteady movement or vibration, often heard in musical instruments or mechanical devices, characterized by a fluctuating amplitude or frequency.	
Maraca	A percussion instrument consisting of a hollow gourd or container filled with seeds or beads, shaken to produce a rhythmic, jingling sound.	
Noise music	A genre of electronic music characterized by its emphasis on unconventional sound sources, often incorporating field recordings, found objects, or manipulated sounds, resulting in a unique, experimental soundscape.	
Exciting music	Upbeat, energetic melodies often associated with dance or pop music, characterized by fast tempos, strong beats, and catchy hooks. Typically heard in nightclubs, festivals, or parties.	
Whir	A low-frequency, continuous humming or buzzing sound, often produced by electric motors, fans, or other mechanical devices. Typically heard in industrial settings, workshops, or laboratories.	
Tire squeal	The high-pitched, screeching sound produced when tires on a vehicle make contact with a hard surface, such as asphalt or concrete. Typically heard during vehicle maneuvers, acceleration, or braking, especially on wet or slippery roads.	
Jingle bell	A short, cheerful sound produced by a metal bell, often used to signal or announce something, typically heard in shopping centers, carnivals, or holiday events.	
Jingle, tinkle	A light, melodic sound produced by metal bells or chimes, often used to accompany music or announce events, typically heard in churches, concerts, or festivals.	
Horse	The distinct, rhythmic sound produced by a horse's hooves as it gallops or trots, often heard in rural areas, horse races, or rodeos.	
Ding-dong	A short, metallic sound produced by a doorbell, typically heard in residential or commercial settings.	
Kitchen and dining room sounds	A variety of sounds produced in kitchens and dining rooms, including cooking appliances, utensils, and dishes, as well as conversations and laughter.	
Sonar	An acoustic technology used to detect and locate objects underwater, characterized by high-frequency, pulsed sounds that bounce off the target and return to the sonar device.	
Motorboat, speedboat	A watercraft powered by a motor, characterized by its speed and maneuverability, often heard in lakes, rivers, or coastal areas.	
Washing machine	A household appliance designed for cleaning clothes, producing a rhythmic, cyclical sound during operation, typically heard in kitchens or laundry rooms.	
