label	definition
Jingle bell	A metallic sound produced by the vibration of a bell, often used to signal or announce something, categorized under musical instruments or sounds.
Surface contact	The sound produced by the impact of an object on a surface, characterized by its intensity and frequency, classified under mechanical sounds.
Loop	A repetitive, continuous sound or sequence of sounds, often used in electronic music or sound effects.
String section	A section of a musical composition that features strings, such as violins, violas, or cellos, typically characterized by their rich, resonant sound.
Harpsichord	A keyboard instrument with strings that are plucked by a plectrum, often used in Baroque music, characterized by its distinctive, twangy sound.
Happy music	Upbeat, major-key melodies often associated with positive emotions, characterized by their lively rhythm and cheerful sound.
Cornet	A brass instrument with a distinctive, bright, and mellow sound, typically used in jazz music and characterized by its conical shape and single-reed mouthpiece.
Theme music	A short, memorable melody or tune associated with a particular TV show, movie, or brand, often used to evoke a sense of familiarity and nostalgia.
Grunge	A genre of alternative rock music characterized by its heavy, distorted guitar sound, often accompanied by angsty lyrics and a grunge aesthetic.
Scratch	A technique used in DJing and turntablism where the DJ manipulates the sound of a record by scratching the vinyl surface with their fingers or a stylus, creating a distinctive rhythmic sound.
Drum and bass	A genre of electronic dance music (EDM) characterized by its heavy, fast-paced drum beats and bass lines, often accompanied by synthesized sounds and samples.
Grind	The rough, grinding sound produced by the movement of two hard surfaces against each other, often associated with machinery or food preparation.
Alto saxophone	The high-pitched, mellow sound produced by blowing air through a single reed, characterized by its versatility and expressive range, belonging to the category of woodwind instruments.
Beat	The steady, rhythmic sound produced by a drum or other percussion instrument, often accompanied by other musical elements, classified under percussion sounds.
Yak	A large, hoofed mammal with a distinctive, low-pitched vocalization often used for communication or warning.
Clickety-clack	The rhythmic, metallic sound produced by the movement of train wheels on tracks, often used to indicate the train's approach or departure.
Clavinet	A percussion instrument with a unique, resonant sound, characterized by its wooden keys and metal strings, often used in jazz and funk music.
Gospel music	A genre of religious music characterized by its uplifting, soulful melodies and rhythmic patterns, often featuring choirs and instrumental accompaniment, belonging to the category of music and cultural sounds.
Melody	A sequence of musical notes arranged in a pleasing pattern, often characterized by its pitch, rhythm, and contour, belonging to the category of music and musical elements.
Flamenco	A traditional Spanish art form characterized by its passionate, expressive singing, guitar playing, and dance movements, often accompanied by hand clapping and percussion, belonging to the category of music and cultural sounds.
Electronic dance music	A genre of percussive electronic music produced largely for nightclubs, festivals, and raves, characterized by repetitive beats and synthesized sounds, often produced for playback by DJs who create seamless selections of audio called a mix by segueing from one recording to another.
Zing	A short, sharp, high-pitched sound, often produced by a metal object striking another or by a high-frequency electronic device, such as a speaker or a musical instrument, and typically associated with excitement, energy, or alertness.
Scary music	A type of music designed to evoke fear, dread, or unease, often characterized by its dissonance, sudden changes in tempo or dynamics, and use of eerie or unsettling sounds, such as screeching, whispering, or percussive elements, and typically associated with horror films, haunted houses, or other suspenseful contexts.
Dub	A rhythmic, electronic sound often used in dance music, characterized by its repetitive patterns and deep bass frequencies.
Goose	The distinctive, high-pitched vocalizations produced by geese, often characterized by their honking or squawking sounds.
Music of Bollywood	The melodic and rhythmic songs from Indian films, characterized by their use of traditional Indian instruments and melodies, often featuring a blend of Hindi and English lyrics, belonging to the category of cultural and entertainment sounds.
Beep, bleep	The short, high-pitched electronic sounds often used as alerts, notifications, or indicators, classified under electronic and digital sounds.
Electronica	The broad range of percussive electronic music produced largely for nightclubs, festivals, and raves, characterized by its repetitive beats and synthesized sounds, belonging to the category of electronic and dance music.
Shofar	A traditional Jewish musical instrument made from a ram's horn, producing a loud, resonant sound often used for religious ceremonies and celebrations.
Synthesizer	An electronic musical instrument that generates sound by combining and manipulating various waveforms, often used in electronic music and sound design.
Drone	A sustained, monotonous sound produced by a single musical note or tone, often used in minimalist or ambient music and soundscapes.
Crunch	A sharp, crisp sound produced by the impact of two hard objects, often associated with footsteps or the sound of something being crushed.
Ping	A short, high-pitched sound produced by the reflection of a wave, often used in electronic devices or communication systems.
	A term used in computing to represent a very small value, often used in scientific and engineering applications.
Duck	The quacking vocalizations produced by ducks, characterized by their distinctive rhythm and pitch, belonging to the category of animal vocalizations.
Dubstep	The electronic dance music genre characterized by its heavy bass, fast tempo, and syncopated rhythms, often featuring distorted and staccato sounds, classified under electronic music.
Violin, fiddle	The high-pitched, bowed string instrument used in various musical genres, producing a rich, resonant sound, categorized under musical instruments.
Drone music	A type of electronic music characterized by its repetitive, hypnotic soundscapes, often produced using synthesizers or other electronic instruments, classified under the category of electronic music.
Sizzle	The sizzling sound produced by food cooking, characterized by rapid, popping noises, typically associated with kitchen or culinary sounds.
Zither	The melodic sound produced by plucking the strings of a zither, a stringed musical instrument with a flat wooden body and a set of strings, classified under the category of stringed instruments.
Psychedelic rock	A genre of rock music characterized by its use of distorted, psychedelic sounds and effects, often associated with the 1960s counterculture movement.
Moo	The low, resonant sound produced by cows, typically used as a reference for measuring low-frequency sound levels.
Clang	A sharp, metallic sound produced by the impact of two hard surfaces, often used in industrial or construction settings.
Lullaby	A soothing, melodic vocalization or instrumental composition designed to calm and comfort a person or animal, often associated with motherhood or childhood.
Swing music	A genre of jazz music characterized by its lively, upbeat tempo and distinctive rhythmic patterns, often featuring big band ensembles and improvisation.
Song	A vocal or instrumental composition with lyrics and a melody, often expressing emotions, telling stories, or conveying a message, classified under music or vocalizations.
Rustle	The sound of leaves or other dry materials moving in the wind, characterized by a soft, whispering quality, belonging to the category of natural environmental sounds.
Clatter	The sound of metal striking metal, often produced by the movement of objects or machinery, classified under man-made sounds.
Oldschool jungle	The rhythmic, percussive sounds of a jungle environment, often characterized by the use of drums, chants, and other traditional instruments, belonging to the category of cultural sounds.
Whir	A low-pitched, continuous sound produced by the rapid rotation of a small object, such as a fan or a motor, often associated with machinery or technology.
Soundtrack music	Background music composed specifically to accompany a film, television show, or other visual media, typically characterized by its emotional tone and pacing.
French horn	A brass musical instrument with a distinctive, mellow, and resonant sound, played by blowing air through a cup-shaped mouthpiece and producing a rich, full-bodied tone.
Whip	A sharp, cracking sound produced by a whip or similar instrument, often used for discipline or entertainment.
Trance music	A type of electronic dance music characterized by its uplifting, euphoric, and energetic soundscapes, often featuring repetitive beats and synth leads.
Kwaito	A genre of South African music characterized by its fast-paced rhythms, percussive beats, and distinctive vocal style, often featuring call-and-response singing and political commentary.
Flap	The sound of wings flapping in the air, often associated with birds or airplanes, classified under natural or man-made sounds.
Hammond organ	The distinctive, resonant sound produced by a Hammond organ, characterized by its vibrato and tremolo effects, classified under musical instruments or electronic sounds.
Punk rock	The loud, aggressive sound of punk rock music, characterized by its fast tempo, distorted guitar riffs, and raw vocals, classified under music genres or cultural sounds.
Flute	A musical instrument characterized by a cylindrical body and a single, closed end, producing a high-pitched sound through the vibration of air blown across a small opening.
Whack, thwack	A sharp, percussive sound produced by the impact of a hard object on a surface, often accompanied by a short, high-pitched echo.
Orchestra	A group of musicians playing together to create a harmonious and complex musical composition, typically consisting of various instruments such as strings, woodwinds, and percussion.
Quack	The distinctive, high-pitched vocalization produced by ducks, often used to communicate or attract prey.
Techno	A type of electronic dance music characterized by its repetitive beats, synthesized sounds, and use of digital instruments, often associated with nightclubs and raves.
Distortion	A type of audio signal processing technique that intentionally introduces nonlinearities into the audio signal, resulting in a distorted sound.
White noise	A type of audio signal characterized by its high frequency content and lack of any discernible pattern or structure, often used as a reference for measuring other audio signals.
Unmodified field recording	An audio recording made in its natural environment without any processing or manipulation, capturing the ambient sounds and background noise of the location.
Environmental noise	The ambient sounds produced by natural and human-made sources in a given environment, often characterized by their background hum, traffic, and other urban sounds.
Cacophony	A harsh, discordant mixture of sounds that can be unpleasant or overwhelming to the ear, often resulting from a combination of different types of noise or music.
Hoot	The distinctive, high-pitched vocalization produced by an owl, often used for hunting or communication, belonging to the category of animal vocalizations.
Squawk	A loud, sharp vocalization produced by birds, often used for warning or communication, belonging to the category of animal vocalizations.
Fly, housefly	The buzzing sound produced by houseflies while flying, characterized by its high-pitched, rapid quality, classified under insect sounds.
Yip	A short, high-pitched vocalization produced by dogs, often used for excitement or joy, categorized under animal vocalizations.
Croak	The distinctive, low-pitched vocalization produced by frogs, often used for communication or attracting mates, belonging to the category of animal vocalizations.
Owl	The hooting or screeching vocalizations produced by owls, often used for hunting or communication, belonging to the category of bird vocalizations.
Chipmunk	The high-pitched, chirping vocalizations produced by chipmunks, often used for communication or warning of predators, belonging to the category of mammal vocalizations.
Roar	A loud, deep, and resonant sound produced by an animal, typically a lion or a bear, often used to communicate or intimidate.
Field recording	An audio recording made in a natural environment, capturing the ambient sounds and background noise of a particular location.
Background noise	A persistent, low-level sound that forms the backdrop to other sounds, often characterized by its lack of distinct features or patterns.
Gramophone record	A vinyl record played on a gramophone, characterized by its scratchy, warm sound and nostalgic association with old-time music.
Reverberation	The echoing or bouncing of sound in a space, often used in recording studios or live performances to enhance the acoustic ambiance.
Coo	The distinctive, melodious vocalization produced by a pigeon, often used as a reference point for other bird songs.
Echo	A repeated, delayed sound resulting from the reflection of a sound wave in a medium, often characterized by a distinct, hollow quality, belonging to the category of acoustic phenomena.
Whale vocalization	The complex, low-frequency vocalizations produced by whales, often characterized by their distinct patterns and rhythms, belonging to the category of animal vocalizations.
Noise	A broad category of unwanted or interfering sounds, often characterized by their intensity, frequency, and duration, belonging to the category of environmental sounds.
Mosquito	A small, buzzing insect that produces a high-pitched, rhythmic sound while flying, often associated with outdoor environments and summer nights.
Pink noise	A type of white noise characterized by its pinkish hue, produced by averaging the power of a wide range of frequencies, often used as a background sound or to mask unwanted noise.
Snake	A slithering reptile that produces a soft, hissing sound when threatened or agitated, often associated with natural environments and wildlife.
Vibration	A rhythmic, oscillatory movement or fluctuation of energy, often producing a sound or felt sensation, classified under mechanical vibrations.
Throbbing	A pulsating, rhythmic sound or sensation, often associated with a beating heart or other pulsating organs, classified under biological sounds.
Mains hum	A low-frequency, continuous humming sound produced by the electrical power grid, often heard as a background noise, classified under environmental sounds.
Patter	A rhythmic, repetitive sound produced by a variety of sources, such as rain, footsteps, or machinery, often characterized by a distinct pattern and intensity.
Hubbub, speech noise, speech babble	A mixture of voices and sounds produced by people talking, often characterized by overlapping speech, background noise, and varying levels of volume and intensity.
Static	A constant, unchanging sound produced by a source of electrical or mechanical interference, often characterized by a low-frequency hum or buzz.
Whimper (dog)	A low, mournful vocalization produced by a dog, often associated with sadness or fear.
Radio	An electronic device used for transmitting and receiving radio broadcasts, characterized by its static and background noise.
White noise, pink noise	Two types of noise commonly used in audio processing and sound design, characterized by their spectral properties and frequency distribution.
Mouse	Small, high-pitched vocalizations produced by mice, often characterized by their rapid, staccato rhythm and distinctive pitch.
Roaring cats (lions, tigers)	The loud, resonant vocalizations produced by big cats, such as lions and tigers, often characterized by their deep, rumbling quality and distinctive pitch.
Rodents, rats, mice	The general term for small, furry mammals that belong to the order Rodentia, including rats, mice, and other rodents, often characterized by their sharp teeth and agile movements.
Sidetone	A high-pitched, whistling sound produced by a microphone or speaker when it is not in use, often used as a diagnostic tool in audio equipment.
Tape hiss	A faint, continuous, high-pitched sound produced by the movement of magnetic tape on a tape recorder or player, often associated with old-fashioned audio recording technology.
Neigh, whinny	The high-pitched, resonant vocalizations produced by a horse, often used to communicate with other horses or to signal their presence.
Sound reproduction	The process of producing and transmitting sound waves through a medium, often using electronic devices such as speakers or headphones.
Carbon monoxide detector, CO detector	An electronic device designed to detect the presence of carbon monoxide gas in the air, typically used in residential or commercial settings to prevent poisoning.
Mantra	A word, phrase, or sound repeated as a form of meditation or spiritual practice, often used in Hindu or Buddhist traditions to focus the mind and achieve a state of inner peace or enlightenment.
Filing (rasp)	The sound of metal filing against metal, characterized by a rhythmic, high-pitched noise, often associated with office or industrial sounds.
Wheeze	The high-pitched, whistling sound produced by narrowed airways, often associated with respiratory conditions or allergies, categorized under medical or health-related sounds.
Power saw, circular saw, table saw	The loud, high-pitched sound produced by the blade of a power saw cutting through wood or other materials, often associated with construction or woodworking sounds.
Photocopier	The sound produced by a photocopier machine, characterized by a rhythmic clicking and whirring noise, often accompanied by a faint humming sound, classified under office or commercial sounds.
Nicker	The sound produced by a horse's teeth as it bites or chews, characterized by a sharp, high-pitched noise, often accompanied by a soft clacking sound, classified under animal sounds.
Gush	The sound produced by a liquid flowing rapidly and forcefully, often characterized by a loud, rushing noise, classified under liquid or fluid movement sounds.
Whimper	A soft, mournful sound often produced by dogs or other animals in distress, characterized by its high-pitched, trembling quality.
Tire squeal	The loud, high-pitched screeching sound produced by the friction of tires on a surface, typically heard when a vehicle is turning or braking.
Crockery breaking and smashing	The sharp, cracking and crashing sounds produced when ceramic dishes or other kitchenware are broken or shattered, often accompanied by the sound of shattering glass.
Single-lens reflex camera	A type of camera that captures images by focusing light onto a single lens, which then reflects the image onto a mirror and onto the film or digital sensor.
Digestive	The system of organs responsible for breaking down food and absorbing nutrients, characterized by a series of muscular contractions and secretions.
Mechanical bell	A device that produces a sound through the vibration of a metal clapper or other mechanical means, often used to signal or alert people.
Rustling leaves	The sound produced by leaves moving in the wind, characterized by a soft, rustling quality, often associated with natural environmental sounds.
Pant (dog)	The sound produced by a dog panting, characterized by a rhythmic, shallow breathing sound, often associated with animal sounds or vocalizations.
Microphone	An electronic device used to capture and convert sound waves into electrical signals, often used in audio recording or communication systems, classified under audio recording or communication equipment.
Slosh	The sound of liquid sloshing or splashing on a surface, often characterized by a rhythmic, splashing pattern, belonging to the category of liquid or fluid movement sounds.
Groan	The low, guttural sound produced by a heavy object or structure moving or shifting, often accompanied by a rumbling or grinding noise, classified under mechanical or industrial sounds.
Rain on surface	The continuous, pattering sound of raindrops hitting a surface, often characterized by its intensity and white noise-like qualities, belonging to the category of natural environmental sounds.
Toot	A short, high-pitched sound produced by a whistle or other musical instrument, often used as a signal or warning.
Booing	A loud, prolonged sound produced by clapping one's hands or stomping feet, often used as a form of protest or disapproval.
Sewing machine	The rhythmic, mechanical sound produced by a sewing machine as it stitches fabric, characterized by its steady, repetitive pattern.
Error signal	A high-pitched, pulsating sound often used to indicate an error or malfunction in electronic devices or systems.
Steam whistle	A loud, penetrating sound produced by the steam or air whistle of a train, typically signaling its approach or departure, categorized as transportation-related sounds.
Source-ambiguous sounds	Sounds that cannot be easily attributed to a specific source or cause, often resulting in confusion or uncertainty, classified under ambiguous sounds.
Spray	The sound of a liquid being expelled from a container, often characterized by a hiss or fizz.
Canidae, wild dogs, wolves	The howling or barking of wild dogs or wolves, often used for communication or warning.
Ship	The sound of a ship's engine or sails, often accompanied by the creaking of rigging or the splashing of water.
Firecracker	A loud, explosive sound produced by the rapid expansion of gunpowder, often accompanied by a sharp crackling noise, classified under man-made sounds and fireworks.
Sanding	The rough, gritty sound produced by the friction of sandpaper against a surface, often accompanied by a low-pitched hum, categorized as human activities or construction sounds.
Dental drill, dentist's drill	The high-pitched, whirring sound produced by a dental drill, often accompanied by a buzzing or humming noise, classified under medical or dental-related sounds.
Wolf-whistling	The high-pitched, mournful whistles produced by wolves, often used for communication or warning purposes, classified under animal vocalizations.
Lawn mower	The rhythmic, humming sound produced by a lawn mower as it cuts grass, characterized by its repetitive pattern and mechanical nature, categorized as machinery-related sounds.
Skidding	The sharp, screeching sound produced by tires losing traction and sliding on a surface, often accompanied by a metallic clangor, classified under transportation-related sounds.
Grunt	A low, guttural vocalization produced by the human vocal tract, often used as a form of communication or expression, classified under human vocalizations.
Thunk	A sharp, percussive sound produced by the impact of a hard object on a surface, characterized by its short duration and high intensity, classified under physical impacts.
Sniff	The inhalation of air through the nose, characterized by a short, sharp sound, often used as a form of sensory perception or communication, classified under human respiratory sounds.
Bass drum	A deep, resonant drum sound often used in music and percussion, characterized by its low frequency and strong, rhythmic beats.
Bathroom sounds	A variety of sounds produced in a bathroom setting, including running water, flushing toilets, and the sound of someone using the shower or sink.
Kitchen and dining room sounds	A collection of sounds produced in a kitchen or dining room setting, including the sound of cooking appliances, dishes clinking, and people talking and laughing.
Heart murmur	A rhythmic, pulsating sound produced by the heart, often heard through a stethoscope, belonging to the category of biological sounds.
Specific impact sounds	The sharp, short sounds produced by the impact of objects on surfaces, characterized by their distinct patterns and frequencies, classified under the category of mechanical sounds.
Electric rotor drone, quadcopter	The continuous, humming sound produced by the rotors of an electric aircraft, often used for surveillance or aerial photography, categorized under the category of transportation-related sounds.
Whoop	A loud, high-pitched vocalization produced by humans, often used for celebration or excitement, classified under human vocalizations.
Acoustic environment	The overall soundscape or ambient noise of a particular location, characterized by its background noise, reverberation, and other acoustic properties, belonging to the category of natural environmental sounds.
Sailboat, sailing ship	The continuous, rhythmic sound of water splashing against the hull of a sailboat or sailing ship, often accompanied by the creaking of rigging and the flapping of sails, classified under transportation-related sounds.
Tire squeal, skidding	The high-pitched, metallic sound produced by the friction of tires on a surface, often accompanied by a skidding or screeching noise, classified under transportation-related sounds.
Chink, clink	The sharp, metallic sound produced by the impact of two hard objects, such as metal on metal or glass on glass, often characterized by a short, repeated rhythm, classified under mechanical sounds.
Rowboat, canoe, kayak	The gentle, rhythmic sound produced by the movement of water over the surface of a small boat, such as a rowboat, canoe, or kayak, characterized by a soft, lapping motion, classified under water-related sounds.
Rapping	A vocal style characterized by rhythmic, spoken lyrics often accompanied by beatboxing and electronic music, classified under human vocalizations and music-related sounds.
Propeller, airscrew	The mechanical device used to generate lift and propel an aircraft, characterized by a rotating blade or blades, classified under transportation-related sounds.
Keypress tone	The electronic sound produced when a key is pressed on a computer keyboard, often used as a feedback mechanism or to indicate user input, classified under computer-related sounds.
Humming	A low-frequency, continuous sound produced by vibrating objects, often associated with human activity or natural phenomena.
Drum roll	A rhythmic, percussive sound produced by striking a drum or other percussion instrument, often used to signal the beginning of an event or performance.
Sonar	A system that uses sound waves to detect and locate objects or obstacles, often used in navigation or military applications.
Pigeon, dove	The cooing or hooting vocalizations produced by pigeons and doves, often characterized by their soft, melodic tones and distinctive patterns, belonging to the category of bird vocalizations.
Hiccup	"The sudden, rhythmic contraction of the diaphragm and closure of the glottis, producing a short, sharp sound often described as a ""hiccup"" or ""burp"", classified under human vocalizations or physiological sounds."
Snort	"The sharp, short sound produced by the rapid expansion of air through the nose, often accompanied by a nasal quality and a ""snorting"" sound, categorized under human respiratory sounds."
Dong, bong	The metallic, ringing sound produced by a church bell, often used to signal the time or other important events, classified under religious or cultural sounds.
Yodeling	The high-pitched, resonant vocalizations produced by vocal cords stretched and contracted rapidly, often used in traditional folk music or as a form of vocal exercise, categorized under human vocalizations or musical expressions.
Power windows, electric windows	The electrically operated windows in vehicles, characterized by their smooth, quiet movement and the sound of the motor, classified under transportation-related sounds.
Jet engine	A loud, continuous, and rhythmic sound produced by the combustion of fuel in a jet aircraft engine, often characterized by its high-pitched and pulsating qualities, belonging to the category of transportation-related sounds.
Paper rustling	The soft, crinkling sound produced by the movement of paper, often caused by wind or human handling, categorized as natural environmental sounds.
Alert	A high-pitched, electronic sound often used to signal danger or warning, classified under alarm or warning sounds.
Shower	The sound of water splashing against a surface, typically produced by a showerhead or faucet, often characterized by its rhythmic, continuous nature and varying intensity.
Foghorn	The loud, continuous sound produced by a foghorn, often used to signal danger or warning, classified under transportation-related sounds.
Blender, food processor	The whirring, blending sound produced by a blender or food processor, often associated with kitchen or culinary sounds and characterized by its rapid, pulsating nature.
Heart sounds, heartbeat	The rhythmic, pulsating sounds produced by the heart, often characterized by their distinct pattern and intensity, belonging to the category of biological sounds.
Channel, environment and background	The ambient sounds that form the background of a particular audio recording, often characterized by their intensity, frequency, and spatial distribution, belonging to the category of environmental sounds.
Howl	The mournful, prolonged vocalizations produced by wolves or other animals, often used for communication or warning, belonging to the category of animal vocalizations.
Pant	The rhythmic, shallow breathing sounds produced by a person while exercising or inhaling deeply, categorized as human respiratory sounds.
Kettle whistle	The high-pitched, continuous sound produced by the steam whistle of a kettle, often used to signal the boiling of water, classified under kitchen or culinary sounds.
Stir	The repetitive, rhythmic sounds produced by a spoon or other utensil being stirred in a pot or pan, often accompanied by the sound of bubbling or sizzling, categorized as kitchen or culinary sounds.
Ducks, geese, waterfowl	The quacking or honking vocalizations produced by ducks, geese, and other waterfowl, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of animal vocalizations.
Wood	The rustling or creaking sound produced by wood as it moves or changes position, often associated with outdoor or natural environments, categorized as environmental sounds.
Clunk	The sharp, metallic sound produced by the impact of two hard objects, often accompanied by a short echo, classified under mechanical sounds.
Stomach rumble	The gurgling or bubbling sound produced by the stomach, often accompanied by a feeling of hunger or discomfort, classified under human physiological sounds.
Waterfall	The continuous, rushing sound of water splashing from a height, typically characterized by its intensity and white noise-like qualities, belonging to the category of natural environmental sounds.
Shuffling cards	The soft, rustling sound produced by shuffling a deck of cards, often accompanied by the occasional snap or click, categorized as human activities or movement sounds.
Wail, moan	A mournful, prolonged vocalization often associated with grief or sadness, classified under human vocalizations.
Non-motorized land vehicle	A vehicle that does not rely on motor power to move, such as a bicycle or horse-drawn carriage, categorized under transportation-related sounds.
Natural sounds	Sounds produced by natural phenomena, such as birdsong, waterfall, or thunder, classified under natural environmental sounds.
Steam	The sound of steam hissing or whistling, often associated with trains or industrial processes, classified under transportation-related sounds.
Cart	The sound of a cart or trolley moving along tracks, often characterized by its metallic clanging and rumbling, categorized as transportation-related sounds.
Harmonic	The sound of two or more frequencies blending together in a pleasing, musical way, often produced by instruments or natural phenomena, classified under musical or natural environmental sounds.
Sound equipment	The mechanical devices used to produce, record, and reproduce sound, often characterized by their electronic components and design, belonging to the category of audio technology.
Sonic boom	The loud, explosive sound produced by the rapid expansion of air surrounding a supersonic object, often accompanied by a sharp, crackling noise, classified under atmospheric phenomena.
Eruption	The sudden, explosive release of energy or matter, often accompanied by a loud, rumbling sound, classified under geological or volcanic phenomena.
Motorboat, speedboat	A watercraft powered by a motor, characterized by its speed and maneuverability, often used for recreational or commercial purposes.
Studio recording	The process of capturing and recording audio in a controlled environment, typically involving microphones and audio equipment, for use in music, film, or other forms of media.
Engine knocking	The rhythmic, metallic sound produced by the combustion of fuel in an internal combustion engine, often indicating a problem with the engine or fuel system.
Human locomotion	The rhythmic sounds produced by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern, categorized as human activities or movement sounds.
Ice cream truck, ice cream van	The loud, jingling sound produced by the bell of an ice cream truck or van, often accompanied by the sound of churning ice cream, classified under transportation-related sounds.
Gargling	The bubbling or gushing sound produced by liquid moving through a confined space, such as water flowing through a narrow passage or the stomach rumbling, classified under liquid or fluid movement sounds.
Dial tone	A high-pitched, rhythmic sound produced by a telephone to indicate an incoming call or to connect to a network.
Cellphone buzz, vibrating alert	A short, high-frequency vibration or buzzing sound produced by a cellphone to indicate an incoming message, call, or notification.
Duck call (hunting tool)	A loud, high-pitched whistle or call used by hunters to attract ducks for hunting.
Puff	A short, sharp sound produced by the expulsion of air from a small opening, often associated with cigarette smoking or blowing out candles.
Velcro, hook and loop fastener	A fastening system consisting of two strips, one with small hooks and the other with loops, that can be easily attached and detached from each other.
Knife	A cutting tool with a sharp blade, typically made of steel, designed for cutting through various materials such as wood, metal, or fabric.
Rimshot	A sharp, percussive sound produced by striking a drum or other object with a mallet, often used in music or theater.
Pulleys	The metallic clanging or whirring sound produced by the movement of pulleys, often used in machinery or construction.
Narration, monologue	A spoken storytelling or commentary, often delivered in a clear and expressive voice, belonging to the category of human speech sounds.
Electronic tuner	A device used to adjust the pitch of musical instruments, characterized by a high-pitched, electronic sound.
Yawn	A deep, prolonged inhalation accompanied by a slight opening of the mouth, often used to stretch the muscles of the face and neck, classified under human vocalizations or physical actions.
Slurp, drinking straw	The sound produced by sucking through a straw, characterized by a rhythmic, slurping noise, often associated with beverages or snacks, categorized under human activities or food-related sounds.
Wobble	A rhythmic, unsteady movement or vibration, often associated with a musical instrument or a mechanical device.
Ding-dong	A short, metallic sound produced by a bell or a chime, often used to signal or announce something.
Ringing tone, ringback tone	A continuous, high-pitched sound produced by a telephone or a mobile device, often used to indicate an incoming call or a voicemail message.
Synthetic singing	A vocalization produced by a machine or computer program, often characterized by a smooth, consistent tone and a lack of natural expressiveness.
Tap dance	A rhythmic, percussive dance style that involves striking objects (such as floors, walls, or other surfaces) with the feet, often accompanied by vocalizations and body movements.
Refrigerator	An appliance designed to cool and preserve food and beverages by removing heat from the interior, characterized by a humming or buzzing sound when in operation.
Shuffle	The sound of shuffling cards or paper, characterized by a rhythmic, soft rustling noise.
Stairs	The sound of footsteps on stairs, characterized by a rhythmic, echoing clatter.
Thump_and_thud	A rhythmic, percussive sound produced by the impact of a hard object against a surface, often associated with footsteps or other forms of movement.
Engine_starting	The sound produced by the ignition and combustion of fuel in an engine, typically characterized by a loud, rhythmic noise.
