class_name	dataset	base_description	context_aware_description	ontology_aware_description
Gong	FSD50K	The sound produced by striking a large metal disc, characterized by a resonant, deep, and rich tone.	A resonant, metallic sound produced by striking a large, flat object, often used for ceremonial or warning purposes, typically heard in religious or official settings.	The resonant, metallic sound produced by striking a large, flat metal object, often used for ceremonial or ritual purposes, belonging to the category of percussion instruments.
Growling	FSD50K	A low, rumbling sound produced by an animal, often associated with aggression or warning.	A deep, rumbling sound produced by certain animals, especially dogs, when they are agitated, threatened, or hungry, often associated with their teeth-bearing or snarling actions.	A low, rumbling sound produced by an animal, often associated with aggression or warning.
Guitar	FSD50K	A stringed musical instrument with a distinctive, resonant sound produced by plucking or strumming the strings.	A stringed musical instrument played by plucking or strumming the strings, producing a rich, melodic sound. Commonly used in various genres of music, including rock, pop, and folk.	The rich, resonant sound produced by strumming or plucking the strings of a guitar, often characterized by its distinct timbre and rhythm, classified under stringed instruments or musical sounds.
Gull_and_seagull	FSD50K	The loud, squawking vocalizations produced by gulls and seagulls, often heard over the ocean or near coastal areas.	A group of seabirds known for their distinctive cries and scavenging behavior. Gulls and seagulls are found near coastlines, islands, and other bodies of water, where they feed on fish, crustaceans, and other marine life. Their calls are often heard in the early morning or late afternoon, and their nests are typically located on cliffs, rocks, or man-made structures.	The melodious vocalizations produced by gulls and seagulls, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
Gunshot_and_gunfire	FSD50K	The sharp, explosive sound produced by a gunshot, often accompanied by a short burst of noise and reverberation.	The sharp, explosive sound produced by the discharge of a firearm, characterized by a short, high-pitched burst of sound followed by a sharp echo. Typically heard in urban or rural environments, originating from gunfire or firearm training exercises.	A sharp, explosive sound produced by the discharge of a firearm, characterized by a short duration and high intensity, classified under man-made sounds.
Gurgling	FSD50K	The bubbling or gushing sound produced by liquid moving through a confined space, such as water flowing through a narrow passage or the stomach rumbling.	The bubbling or gushing sound generated by liquid flowing through a restricted area, akin to water coursing through narrow passages or the rumbling of the stomach during digestion. Commonly heard in streams, plumbing systems, or processes involving liquids.	The bubbling or gushing sound produced by liquid moving through a confined space, such as water flowing through a narrow passage or the stomach rumbling, classified under liquid or fluid movement sounds.
Hammer	FSD50K	A percussive tool with a flat, striking surface and a handle, used for driving nails into wood or other materials.	A percussive tool with a flat, weighted head used for driving nails or breaking objects. Characterized by a sharp, metallic sound when striking a surface. Often heard in construction sites, workshops, or DIY projects.	The sound produced by striking a metal object with a hammer, characterized by a sharp, metallic ring.
Hands	FSD50K	The sound produced by the movement of fingers on a surface, often characterized by a soft, rhythmic tapping or scratching sound.	The human hand, characterized by opposable thumbs and fingers, capable of grasping, manipulating, and creating sound through actions like clapping, drumming, or strumming.	The sound of human hands clapping, characterized by its sharp, percussive rhythm and varying intensity, categorized as human activities or movement sounds.
Harmonica	FSD50K	A musical instrument that produces sound by the vibration of a reed when air is blown across it.	A wind instrument consisting of a metal tube with a diatonic scale, played by blowing or drawing air across the reeds, producing a distinctive, expressive sound, often associated with blues, jazz, or rock music.	The melodic sound produced by blowing air through a metal tube with slits, creating a unique, resonant tone, classified under musical instruments.
Harp	FSD50K	A melodic, plucked string instrument with a large, resonant body, characterized by a rich, resonant sound.	A stringed musical instrument played by plucking or strumming the strings, producing a melodic, resonant sound. Typically associated with folk or classical music, and often heard in concert halls or music studios.	A stringed musical instrument, characterized by its plucked strings and distinctive sound, often used in folk and classical music, classified under musical instruments.
Hi-hat	FSD50K	A percussion instrument that produces a high-pitched, metallic sound, often used in electronic and dance music.	A percussion instrument characterized by its sharp, metallic sound, typically used in jazz or electronic music, often heard in rhythmic patterns or accents.	A percussive sound produced by striking a metal plate or cymbal with a mallet or stick, often used in drumming and percussion music.
Hiss	FSD50K	The sharp, high-pitched sound produced by a hissing snake or other hissing creature, characterized by its sudden, short bursts of sound.	A sharp, high-pitched sound resembling a snake hissing or a fizzing sound, often associated with electrical or mechanical devices, chemicals, or insects.	A high-pitched, continuous sound produced by the rapid movement of air through a narrow opening, often associated with snakes or other slithering creatures.
Human_group_actions	FSD50K	Human group actions refer to the collective sounds produced by a group of people performing activities such as singing, dancing, or chanting. The sound produced by a human group action is typically characterized by its rhythm, melody, and harmony, which can vary depending on the group's size, composition, and cultural background.	The collective sounds produced by a group of people engaging in activities such as singing, chanting, or clapping, characterized by a unified rhythm and volume. Often heard in social gatherings, religious ceremonies, or public events.	The rhythmic sounds made by the impact of feet on a surface while walking or running in a group, varying in speed, intensity, and pattern, categorized as human activities or movement sounds.
Human_voice	FSD50K	The natural, vocal sounds produced by humans, including speech, singing, and other forms of vocal communication.	A complex, variable vocalization produced by humans, characterized by pitch, tone, and rhythm, often used for communication, expression, or entertainment.	The vocalizations produced by humans, characterized by a wide range of pitches, tones, and rhythms, often used for communication, expression, or entertainment.
Idling	FSD50K	The sound of an engine or machine that is running at a low speed or not in use, characterized by a steady, low hum.	The sound of an engine running at low speed, typically heard when a vehicle is parked or warming up. The sound is characterized by a steady, rhythmic hum or buzz.	The sound of an engine or machine running at a low speed or in idle mode, characterized by a steady, low hum.
Insect	FSD50K	The buzzing, chirping, or clicking sounds produced by insects, often accompanied by the sound of their wings or legs as they fly or move.	A diverse range of sounds produced by insects, including buzzing, chirping, clicking, and humming. Often heard in natural environments like forests, grasslands, or gardens, where insects are active.	The buzzing or chirping sounds produced by insects, often characterized by their high-pitched, rapid, and rhythmic nature, belonging to the category of natural environmental sounds.
Keyboard_(musical)	FSD50K	The sound produced by striking keys on a musical keyboard, characterized by its pitch, rhythm, and timbre.	A musical instrument consisting of keys that, when pressed, produce a specific note or sound. Often used in various genres of music, including classical, jazz, and pop.	The sounds produced by the keys of a musical keyboard, characterized by their distinct pitches and timbres, classified under musical instruments.
Keys_jangling	FSD50K	The metallic clinking sound produced by keys as they are inserted into a lock or turned on a keychain.	The metallic clinking or jingling sound produced by keys as they are inserted into a lock and turned, typically heard in residential or commercial settings.	The metallic clinking sound produced by keys as they are turned or moved, often associated with doors or locks.
Knock	FSD50K	A sharp, rhythmic sound produced by a person tapping on a surface, typically to get someone's attention.	A rhythmic, sharp sound created by striking a surface with the back of the hand, typically used to signal someone's presence, request, or warning, often heard in residential or commercial settings.	A rhythmic, sharp sound produced by striking a surface with a hand or other object, often used to signal or announce something.
Laughter	FSD50K	The sound produced by the respiratory system when laughing, characterized by short bursts of high-pitched vocalizations.	A joyful, contagious sound characterized by bursts of high-pitched vocalizations, commonly associated with humor and social gatherings.	The light, high-pitched laughter often characterized by short, repeated bursts of sound, falling under human vocalizations or emotional expressions.
Liquid	FSD50K	The continuous, flowing sound produced by the movement of liquid, characterized by its rhythmic, splashing quality.	The sound of liquid flowing or splashing, typically heard in kitchens, bathrooms, or industrial settings involving the movement of fluids.	The sound produced by the movement of liquid, characterized by its fluidity and flow, often associated with water or other liquids, belonging to the category of natural environmental sounds.
Livestock_and_farm_animals_and_working_animals	FSD50K	The sounds produced by various farm animals, including cows, pigs, and chickens, as well as the sounds of people working on a farm, such as the sound of a tractor or the clanging of metal.	Sounds produced by domesticated animals used for agriculture, transportation, or labor, such as cows, pigs, horses, and chickens.	A category of animal-related sounds produced by domesticated animals used for agriculture or work, such as cows mooing, sheep bleating, and horses whinnying.
Male_singing	FSD50K	The sound of a male voice singing, often characterized by a distinct pitch, tone, and rhythm.	A melodic vocalization produced by male vocal cords, characterized by unique pitch, rhythm, and timbre, often heard in musical performances or social gatherings.	The melodious vocalizations produced by male singers, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of human vocalizations.
Male_speech_and_man_speaking	FSD50K	The sound of a man's voice, characterized by its pitch, tone, and rhythm.	Distinctive vocalizations produced by adult males, characterized by variations in pitch, tone, and rhythm, often heard in social settings or during conversations.	The vocalizations produced by a male human, often characterized by distinct pitch, tone, and rhythm, belonging to the category of human speech sounds.
Mallet_percussion	FSD50K	The sharp, metallic sound produced by striking a mallet against a metal surface, often used in orchestral music and percussion ensembles.	The sharp, resonant sound produced by striking a mallet against a metal or wooden surface, often used in percussion instruments or construction work, heard in music studios, workshops, or construction sites.	A percussion instrument that produces sound by striking a set of metal bars with mallets, often used in orchestral and band music to create rhythmic patterns and accents.
Marimba_and_xylophone	FSD50K	A percussion instrument consisting of a set of wooden bars struck with mallets, producing a bright, resonant sound.	A percussion instrument consisting of a set of wooden bars struck with mallets, producing a bright, resonant sound. Often heard in orchestras, bands, or cultural performances.	A percussion instrument consisting of a set of wooden bars struck with mallets, producing a bright, resonant sound, classified under musical instruments.
Mechanical_fan	FSD50K	A mechanical fan produces a steady, rhythmic sound characterized by a low pitch and a steady hum.	The steady, humming sound produced by a mechanical fan, often associated with air conditioning or ventilation systems. Typically heard in enclosed spaces like homes, offices, or industrial settings.	A mechanical device that produces a continuous, rhythmic sound characterized by a low pitch and steady rhythm, often used for cooling or ventilation.
Mechanisms	FSD50K	The physical processes that produce sound, such as vibration, compression, and expansion.	The rhythmic, metallic clanking or grinding sounds produced by machinery, vehicles, or tools, often associated with industrial or mechanical settings.	The intricate systems and processes that govern the operation of machines, engines, or other mechanical devices, often characterized by their rhythmic, repetitive sounds.
Meow	FSD50K	The soft, melodic vocalization produced by a cat, characterized by short, high-pitched bursts of sound.	The soft, melodic vocalization produced by cats, typically used for communication, expressing contentment, or seeking attention, often heard in homes or outdoors.	The soft, melodic vocalization produced by cats, often used for communication or expressing contentment.
Microwave_oven	FSD50K	An electronic device that uses microwaves to heat or cook food.	A high-frequency electromagnetic radiation used for heating or cooking food. Characterized by a beeping sound and a humming noise when in operation. Typically found in kitchens or dining areas.	A kitchen appliance that produces microwaves to heat or cook food, characterized by a beeping sound and a humming noise.
Motor_vehicle_(road)	FSD50K	The sounds produced by motor vehicles traveling on roads, such as engine noise, tire screeching, and horns, often characterized by their intensity and rhythm.	The steady, rhythmic sound of a motor engine, often accompanied by the hum of tires on asphalt, heard on roads, highways, or parking lots.	The continuous, rhythmic sounds produced by the engine and transmission of a vehicle moving on a road, characterized by their intensity and white noise-like qualities, belonging to the category of transportation-related sounds.
Motorcycle	FSD50K	A two-wheeled vehicle with an internal combustion engine, characterized by its distinctive revving sound and vibrations.	A two-wheeled vehicle powered by an internal combustion engine, characterized by its distinctive roar and vibration. Often heard on roads, highways, or in urban areas.	The continuous, rhythmic sound produced by the engine of a motorcycle, characterized by its intensity and vibration, belonging to the category of transportation-related sounds.
Music	FSD50K	A form of art that uses sound to convey emotions, ideas, or stories, often through the use of melody, rhythm, harmony, and lyrics.	A form of art that uses sound and rhythm to create a composition, often characterized by melody, harmony, and rhythm, and typically associated with cultural or social contexts.	The melodious and rhythmic sounds produced for human enjoyment or cultural expression, often featuring complex patterns and harmonies, and typically classified under the category of music.
Musical_instrument	FSD50K	A device used to produce musical sound, typically consisting of a body that resonates when struck, vibrated, or bowed.	A device used to create music, characterized by its unique sound and played by striking, plucking, or blowing.	A device used to produce musical sound, characterized by its unique timbre and resonance, often played by musicians.
Ocean	FSD50K	The continuous, rhythmic sound of waves crashing against the shore, often accompanied by the sound of seagulls and other marine life.	The deep, continuous sound of waves crashing against the shore, characterized by rhythmic patterns and varying intensities, often heard in coastal areas. Context: A sandy beach, rocky shoreline, or a pier overlooking the ocean.	The continuous, deep, and resonant sound produced by the movement of water in the ocean, often characterized by its low-frequency and ambient qualities, classified under natural environmental sounds.
Organ	FSD50K	A musical instrument that produces sound by the vibration of pipes, typically used in classical music and religious ceremonies.	A musical instrument with a keyboard and pipes, producing a rich, resonant sound, often heard in concert halls, churches, or theaters.	A musical instrument consisting of pipes and pedals, producing a rich, resonant sound through the vibration of air.
Packing_tape_and_duct_tape	FSD50K	A sound produced by the adhesive strips of packing tape and duct tape when they are torn or stretched.	Adhesive tapes used for sealing, securing, and protecting items during transportation or storage. The sound of packing tape being applied is characterized by a sharp, adhesive sound, while duct tape produces a distinct, rubbery sound.	The rustling sound produced by the adhesive surface of packing tape or duct tape when applied or removed, categorized as household or office supplies sounds.
Percussion	FSD50K	The sharp, resonant sounds produced by striking or shaking objects, often used in music and other forms of audio art.	A rhythmic, sharp, and resonant sound produced by striking or shaking an object, often used in music or other forms of art. Context: Typically heard in music studios, concert halls, or during cultural events.	The sharp, rhythmic sounds produced by striking or shaking objects, often used in music and dance.
Piano	FSD50K	A musical instrument with a keyboard and strings, producing a rich, resonant sound when struck with the fingers, often used in classical or popular music.	A musical instrument consisting of a wooden frame with rows of strings, played by striking keys with the fingers. Produces a rich, resonant sound, often used in classical, jazz, or pop music. Typically heard in music studios, concert halls, or living rooms.	A musical instrument with strings that produce sound when struck with mallets, characterized by a rich, resonant sound and a variety of notes.
Plucked_string_instrument	FSD50K	The sound produced by plucking the strings of a stringed instrument, often characterized by its bright, twangy, and resonant quality.	A musical instrument that produces sound by plucking strings, characterized by a bright, twangy tone. Often associated with folk or classical music, and commonly heard in concert halls or music studios.	A musical instrument that produces sound by plucking the strings with the fingers, typically featuring a long neck and a flat body, such as a guitar or a harp.
Pour	FSD50K	The sound of liquid flowing out of a container, characterized by a continuous, rhythmic splashing or gurgling noise.	The sound of liquid flowing out of a container, characterized by a continuous, rhythmic splashing or gurgling noise. Typically heard in kitchens, bars, or other settings where liquids are being poured or served.	The sound of liquid flowing out of a container, characterized by a continuous, rhythmic splashing or gurgling noise.
Power_tool	FSD50K	A power tool is a machine that uses electricity to perform tasks such as cutting, drilling, or sanding. The sound produced by a power tool is typically characterized by its high-pitched whine or buzz, which can vary in intensity depending on the tool's speed and power.	The high-pitched, whirring sound generated by power tools, such as saws, drills, or sanders, while they are in operation, typically heard in construction sites or workshops.	A mechanical device used for cutting, drilling, or sanding, characterized by its high-pitched, rhythmic sound, often associated with construction or DIY activities.
Printer	FSD50K	The sound produced by a printer, characterized by a rhythmic, clicking noise as paper is fed through the machine.	A mechanical device that produces printed documents on paper, characterized by rhythmic, repetitive sounds and occasional paper movement.	A rhythmic, mechanical sound produced by the movement of paper and ink cartridges in a printer, often accompanied by a paper feed sound and a low hum.
Purr	FSD50K	A low, rumbling sound produced by a cat, often associated with contentment or relaxation.	A low, rumbling sound produced by the engine of a vehicle or machinery, often heard when the engine is running smoothly or idling.	A low, rumbling sound produced by a cat, often associated with contentment or relaxation, classified under animal-related sounds.
Race_car_and_auto_racing	FSD50K	The roaring and screeching sounds produced by race cars and other vehicles during high-speed racing, characterized by their intensity and rhythmic patterns.	The roar and screech of tires on asphalt during high-speed racing, typically heard in enclosed arenas or open tracks.	The roaring and screeching sounds produced by high-performance cars during racing, characterized by their speed and intensity, belonging to the category of human activities or sports sounds.
Rail_transport	FSD50K	The continuous, rhythmic sound produced by the wheels of a train moving along tracks, often accompanied by the clacking of the rails and the occasional screeching of brakes.	The rhythmic clanking and rumbling sound produced by trains moving on rails, often heard in urban or suburban areas near train stations or tracks.	The continuous, rhythmic sound produced by the wheels of a train moving on rails, often accompanied by the clacking of the couplings, classified under transportation-related sounds.
Rain	FSD50K	The continuous, rhythmic sound of raindrops hitting a surface, characterized by its intensity and white noise-like qualities.	A continuous, rhythmic pattering or drumming sound produced by raindrops hitting various surfaces, such as roofs, windows, or leaves. Often heard during rainfall, especially in urban or suburban areas.	The continuous, pattering sound of raindrops hitting various surfaces, often accompanied by splashing or gurgling noises, classified under natural environmental sounds.
Raindrop	FSD50K	A small, individual droplet of water that falls from the sky during rain, producing a distinct, pitter-patter sound.	A single droplet of water striking a surface, producing a short, sharp sound, often heard during rainfall.	The individual droplets of water that fall from the sky, often producing a soft, pattering sound when they hit surfaces, categorized under natural environmental sounds.
Ratchet_and_pawl	FSD50K	A metallic clicking sound produced by a ratchet and pawl mechanism, typically used in machinery or vehicles.	A mechanical device consisting of a ratchet and pawl, used to control the motion of a small/medium rotating saw, characterized by a distinct metallic clicking sound.	A metallic clicking sound produced by a ratchet and pawl mechanism, often used in mechanical devices such as clocks and watches.
Rattle	FSD50K	The metallic, clattering sound produced by the movement of small objects or debris, often accompanied by a sharp, crackling noise.	A vibrating, shaking sound, often caused by loose parts or materials moving together, such as a car engine or a bag of marbles.	A metallic sound produced by the vibration of small objects or particles, often used in percussion instruments or as a sound effect.
Rattle_(instrument)	FSD50K	A percussion instrument that produces a sharp, metallic sound when shaken or struck, often used in jazz and Latin music.	A percussive sound produced by the vibration of metal parts, often heard in traditional instruments like tambourines or maracas.	The metallic, shaking sound produced by an instrument, typically characterized by its intensity and frequency, classified under musical instruments.
Respiratory_sounds	FSD50K	The various sounds produced by the respiratory system, including breathing, coughing, and sneezing, characterized by their rhythm, pitch, and intensity.	A variety of sounds produced by the respiratory system, including coughing, sneezing, and breathing sounds, typically heard in medical or healthcare settings.	The sounds produced by the respiratory system, including breathing, coughing, and sneezing, classified under human vocalizations or physiological sounds.
Ringtone	FSD50K	A melodic or rhythmic sound produced by a device to signal an incoming call, message, or notification, often characterized by a distinct melody or pattern.	A melodic or rhythmic electronic sound used to signal an incoming call, message, or notification on a mobile device.	The electronic sound produced by a mobile device to signal an incoming call or message, typically characterized by a distinct melody or pattern, belonging to the category of electronic sounds.
Run	FSD50K	The rhythmic footsteps produced by a person running, characterized by a consistent pattern of impact and release sounds.	The rhythmic footsteps sound created when someone is running, characterized by variations in speed, intensity, and pattern, often heard in outdoor environments.	The rhythmic sounds made by the impact of feet on a surface while running, characterized by their speed, intensity, and pattern, categorized as human activities or movement sounds.
Sawing	FSD50K	The continuous, high-pitched sound produced by the rapid movement of a saw blade through wood or other materials, characterized by its rhythmic pattern and intensity.	The rhythmic, metallic sound produced by the movement of a saw blade through wood or other materials, typically heard in construction sites, workshops, or woodworking areas.	The rhythmic, metallic sound produced by the movement of a saw blade through wood or other materials, often characterized by a repetitive, oscillating pattern.
Scissors	FSD50K	The sound of metal blades cutting through fabric or paper, characterized by a sharp, metallic noise.	A cutting tool with two sharp blades that move in opposite directions when opened and closed, typically used for cutting paper, fabric, or other materials. The sound of scissors cutting is characterized by a sharp, metallic snip or clip.	The cutting sound produced by the blades of scissors as they cut through materials, often accompanied by a snipping or clicking sound.
Scratching_(performance_technique)	FSD50K	The sound produced by rubbing a finger or other object against a surface, often used in DJing or turntablism to manipulate the pitch or rhythm of a record.	A percussive sound produced by rubbing two surfaces together, often used in musical performances or as a rhythmic element in dance or percussion.	The sound produced by rubbing a finger or object against a surface, often used in percussion or drumming.
Screaming	FSD50K	A loud, high-pitched vocalization characterized by rapid, repeated bursts of sound.	A loud, intense vocalization marked by high-pitched shrieks and rapid, rhythmic bursts of sound, typically associated with sudden shock, fear, or anger.	A loud, high-pitched vocalization often characterized by rapid, repeated bursts of sound, often associated with strong emotions or distress.
Screech	FSD50K	A high-pitched, piercing sound produced by metal on metal, such as brakes on a train or a car.	A high-pitched, piercing sound produced by metal on metal or other materials rubbing together, commonly heard in brakes, alarms, or construction sites.	A high-pitched, piercing sound often produced by metal on metal or other hard surfaces, classified under mechanical sounds.
Shatter	FSD50K	A sharp, cracking sound produced by the breaking of a hard material, such as glass or ice.	The sharp, cracking sound produced by breaking glass or other brittle materials, often accompanied by a tinkling or chinking sound. Typically heard in urban or industrial settings, such as construction sites or glass factories.	A sudden, sharp sound produced by the breaking of glass or other brittle materials, often accompanied by a high-pitched ringing noise.
Shout	FSD50K	A loud, high-pitched vocalization produced by the vocal cords, often used to express strong emotions.	Loud, resonant vocalizations created with a strong, forceful voice, characterized by high pitch and intensity, often used for communication, warning, or expressing emotions, typically heard in public spaces like streets, sports arenas, or theaters.	The loud, high-pitched vocalizations produced by a person, often used for communication or expression, categorized under human vocalizations or emotional expressions.
Sigh	FSD50K	A long, deep, and quiet exhalation of air through the nose, often accompanied by a slight shaking of the head or a downturned mouth.	A gentle, prolonged exhalation accompanied by a soft, low-pitched sound, typically expressing disappointment, sadness, or relief. Often heard in quiet environments or during conversations.	A deep, audible exhalation of air through the nose or mouth, often accompanied by a slight vibration of the vocal cords, expressing a sense of disappointment, frustration, or longing.
Singing	FSD50K	The melodic vocalizations produced by the human voice, characterized by their pitch, rhythm, and emotional expression, often accompanied by musical instruments.	The act of producing musical sounds by vibrating the vocal cords, characterized by a wide range of pitches and rhythms. Often heard in concerts, performances, or informal settings, and can be solo or in a group.	'The human vocalization characterized by rhythmic, melodic tones, often accompanied by lyrics, belonging to the category of human vocalizations or music sounds.'
Sink_(filling_or_washing)	FSD50K	The sound of water filling or washing dishes, characterized by its continuous, splashing rhythm.	The sound of water filling or washing a sink, characterized by a steady, rhythmic splashing or gurgling noise. Typically heard in kitchens or bathrooms during the process of washing dishes, hands, or other objects.	The sound of water filling or washing a sink, characterized by its rhythmic splashing and gurgling, often accompanied by the sound of water flowing in and out of the sink.
Siren	FSD50K	An electronic device that produces a loud, oscillating sound used for warning or alerting purposes, such as in emergency situations.	An alarm device that produces a loud, oscillating wail or whistle sound, used to signal danger, warning, or alert. The sound produced is characterized by its high pitch, rapid oscillations, and distinct pattern, often heard in emergency situations.	A loud, oscillating sound produced by a high-frequency generator, typically used for warning or alerting purposes, classified under warning or alarm sounds.
Skateboard	FSD50K	A board with wheels on which a person can perform tricks and maneuvers while moving on a smooth surface	A board with wheels, designed for riding on ramps and smooth surfaces, producing a distinctive clicking or grinding sound as the wheels interact with the surface, commonly heard in skate parks or urban environments.	The sharp, high-pitched sound produced by the wheels of a skateboard grinding against a surface, often accompanied by the occasional pop or crackle sound, categorized as human activities or movement sounds.
Slam	FSD50K	The loud, sharp sound produced by a heavy object hitting a hard surface, characterized by its short duration and high intensity.	A loud, sharp, and sudden sound created by the impact of an object hitting a hard surface, often accompanied by a resonant echo.	A loud, sharp sound produced by a heavy object hitting a hard surface, often accompanied by a reverberation effect, classified under impact sounds.
Sliding_door	FSD50K	The sound produced by a sliding door, characterized by a smooth, continuous glide.	A type of door that moves horizontally on a track, often heard in public transportation systems, characterized by its metallic clanging sound when opening and closing.	The metallic, scraping sound produced by a sliding door as it moves along its tracks, often accompanied by a soft click or clatter, categorized as household sounds.
Snare_drum	FSD50K	A percussion instrument with a sharp, high-pitched sound produced by a stretched wire or animal skin stretched over a hollow body, typically struck with a stick or mallet.	A percussion instrument characterized by a sharp, cracking sound produced by a stretched wire or animal skin stretched over a hollow wooden box. Often used in orchestral and percussive music, particularly in rhythmic patterns.	The sharp, cracking sound produced by a snare drum, often used in percussion music to create a rhythmic accent, belonging to the category of musical instruments.
Sneeze	FSD50K	A sudden, sharp sound produced by the forceful expulsion of air from the nose, characterized by a high-pitched, short burst of sound.	A sudden, sharp sound produced by the forceful expulsion of air from the nose, often accompanied by a nasal twitch. Typically heard in indoor environments, such as homes, offices, or public spaces, when someone is experiencing a cold, allergy, or other respiratory irritation.	A sudden, sharp sound produced by the forceful expulsion of air from the nose, often accompanied by a tickling sensation in the nasal passages.
Speech	FSD50K	A human vocalization used for communication, characterized by rhythmic patterns of sound and syllables.	Human vocalizations characterized by rhythmic patterns of sound, often used for communication, expression, or entertainment. Typically heard in social settings, such as conversations, lectures, or performances.	The vocalizations produced by humans for communication, characterized by their distinct patterns, pitches, and rhythms.
Speech_synthesizer	FSD50K	An electronic device that produces synthetic speech, often used in voice recognition and language translation systems.	An artificial intelligence system capable of converting text into spoken words, producing a synthetic voice with distinct intonation and rhythm.	An electronic device that generates human-sounding speech from text input, often used in voice assistants or language translation software.
Splash_and_splatter	FSD50K	The sound of water splashing and splattering against a surface, characterized by short, sharp bursts of sound.	The sound of water splashing and splattering against a surface, often heard in pools, showers, or waterfalls.	The sound of water splashing and splattering, often produced by a water source being disturbed or disrupted.
Squeak	FSD50K	A short, high-pitched sound produced by the friction of two surfaces or the movement of a small object.	A short, high-pitched sound produced by the movement of metal against metal or other materials, often heard in door hinges, floorboards, or other mechanical components. Typically associated with older or poorly maintained objects.	The short, high-pitched sound produced by the friction of two surfaces in contact, often associated with mechanical or mechanical-related sounds.
Stream	FSD50K	A continuous flow of water or other liquid, often characterized by its sound as it flows over rocks or other obstacles.	A continuous flow of water, often heard in natural environments like rivers, lakes, or waterfalls, characterized by the sound of water flowing over rocks or other surfaces.	A continuous flow of sound, often characterized by its rhythmic patterns and timbre, belonging to the category of natural environmental sounds.
Strum	FSD50K	The rhythmic, plucking sound produced by a guitar or other stringed instrument, often accompanied by a steady beat.	A melodic, percussive sound created by rapidly plucking or striking strings on a musical instrument, commonly heard in guitar music, folk songs, or pop songs.	The sound produced by rapidly plucking or strumming a stringed instrument, often characterized by its rhythm, pitch, and timbre.
Subway_and_metro_and_underground	FSD50K	The continuous, rumbling sound produced by the movement of trains in subway, metro, and underground systems.	The rhythmic clanging of metal on metal, accompanied by the distant rumble of trains and the occasional screeching of brakes, heard in subway, metro, and underground train systems.	The continuous, rhythmic sounds produced by trains and subways, often characterized by their metallic clanging and rumbling, classified under transportation-related sounds.
Tabla	FSD50K	The percussive sound produced by striking two flat metal plates together, characterized by a sharp, resonant tone and a rhythmic pattern of beats.	A pair of hand drums used in Indian classical music, characterized by their sharp, metallic sound when struck. The tabla consists of two drums, the dayan and the tabla, which produce different pitches and tones when played together or separately.	A percussion instrument with a flat, circular surface and metal jingles, producing a sharp, resonant sound when struck.
Tambourine	FSD50K	The sound produced by the shaking of a tambourine, characterized by a sharp, metallic tinkling or jingling sound.	A handheld percussion instrument consisting of metal jingles attached to a frame, producing a bright, rhythmic sound when shaken.	A handheld percussion instrument with metal jingles that produce a bright, metallic sound when shaken, classified under musical instruments.
Tap	FSD50K	A short, sharp sound produced by striking a hard surface with a small object, such as a hammer or a finger.	A short, sharp sound produced by striking a hard surface with a tool or object, typically heard in construction sites, workshops, or when assembling furniture.	A short, sharp sound produced by striking a hard surface with a small object, often used to signal or indicate something.
Tearing	FSD50K	The sound of fabric or paper being torn, characterized by its sharp, tearing noise.	The sound of fabric or paper being torn apart, often accompanied by a slight rustling or crinkling noise, typically heard when someone is tearing something apart by hand.	The sound of fabric or paper being torn, characterized by its sharp, tearing noise.
Telephone	FSD50K	A device that produces a high-pitched, metallic sound when someone speaks into it, and a low-pitched, metallic sound when someone listens to it.	A device used for communication through speech and sound, characterized by its ringing and dialing sounds. Typically heard in homes, offices, or public spaces.	The sound of a telephone ringing or a voice on the phone, characterized by its high-pitched, metallic quality and often associated with communication sounds.
Thump_and_thud	FSD50K	A sharp, percussive sound produced by the impact of a hard object against a surface, often accompanied by a short, sharp echo.	A sharp, percussive sound created by the impact of an object on a hard surface, typically heard in various settings like homes, streets, or construction sites.	A rhythmic, percussive sound produced by the impact of a hard object against a surface, often associated with footsteps or other forms of movement.
Thunder	FSD50K	A loud, rumbling sound produced by the rapid expansion of air surrounding a lightning bolt, often accompanied by crackling or booming noises.	The deep, rumbling sound generated by the rapid expansion of air surrounding a lightning bolt, often accompanied by crackling or booming noises. Typically occurs during thunderstorms, when lightning strikes and atmospheric conditions trigger sudden air expansion, resulting in the characteristic thunderous reverberation.	A deep, rumbling sound produced by the rapid expansion of air surrounding a lightning bolt, often accompanied by crackling or booming noises, classified under atmospheric phenomena.
Thunderstorm	FSD50K	A loud, rumbling sound produced by the rapid expansion of air surrounding lightning bolts, often accompanied by crackling or booming noises.	The loud, explosive sound generated by lightning strikes during a thunderstorm, characterized by its sudden onset, rumbling intensity, and occasional crackling or booming noises.	A natural phenomenon characterized by the continuous rumbling and crackling sound of thunder, accompanied by lightning flashes and heavy rain, often causing fear and awe in those who experience it.
Tick	FSD50K	A short, sharp sound produced by a mechanical device, such as a clock or a watch, often accompanied by a visual movement.	A short, sharp sound, typically heard in clocks or watches, produced by a mechanical mechanism.	The short, sharp sound produced by a small insect, often characterized by its high-pitched quality and rapid repetition, classified under insect sounds.
